shipment_id,shipment_date,transport_mode,region,distance_km,shipment_volume,transportation_cost,fuel_cost,delivery_time_days,delay_days,delivery_status
SHP00001,2025-01-01,Road,West,85.16080443648433,106.74510234113606,1085.4324534686634,20.356745292040443,4.922196537470129,0.6762152306472928,Delayed
SHP00002,2025-01-02,Sea,East,627.7246141422579,88.43563925769902,1450.4343881238478,185.66745670718743,9.932363352393374,1.6276622040938922,Delayed
SHP00003,2025-01-03,Air,Central,617.3960117324146,49.82230720505239,3069.512455240799,150.26740195235666,2.3781475203440525,1.6769761099174263,Delayed
SHP00004,2025-01-04,Rail,North,1149.8570239140852,88.31278783359699,2087.1881442796116,235.42917432255823,9.9491999188303,-0.40904889283242896,On-Time
SHP00005,2025-01-05,Road,Central,654.4475022854418,35.4855493784403,1492.6501555420518,162.98275301820456,3.8737058737494285,-0.8562482659693211,On-Time
SHP00006,2025-01-06,Road,North,778.1902393775539,76.39775955010589,2122.7439848604795,154.98008766074457,2.750088501310457,4.341716039055927,Delayed
SHP00007,2025-01-07,Road,South,1045.670274164175,62.30867577009804,2445.0434390304495,290.76969704154936,3.440801852435296,-2.0,On-Time
SHP00008,2025-01-08,Sea,North,1304.002652461598,148.880483553493,2178.7129908215416,243.79863155578659,11.251233442058377,-1.3532584223431314,On-Time
SHP00009,2025-01-09,Rail,West,670.767040597368,69.74437634548515,1406.5320644099697,180.86853966629778,6.958508364981624,-0.00945630352476523,On-Time
SHP00010,2025-01-10,Air,East,468.7802441309466,200.93798201933328,4017.649270884487,155.01750277539935,5.089138157991158,1.8998785682983674,Delayed
SHP00011,2025-01-11,Road,South,316.644911313523,68.56688900582996,1210.2595888051783,102.09849627895004,4.7468515254252175,3.3387663152579794,Delayed
SHP00012,2025-01-12,Sea,North,172.26666510534474,89.10681558151964,1113.6015649274575,56.86055581877846,8.10700475388085,5.141829010470367,Delayed
SHP00013,2025-01-13,Air,Central,616.5626891110907,134.182566324732,4004.4518381919856,207.62643515829166,5.224332122127139,0.270723292824674,Delayed
SHP00014,2025-01-14,Road,South,414.55905490498276,104.35244375028951,1785.3861391470466,81.9872368924204,4.283297101144812,0.4381609382754158,Delayed
SHP00015,2025-01-15,Road,South,740.2628629471546,18.622893985417672,1527.9516043359256,149.44946674001412,2.782768224248872,1.4065251515379498,Delayed
SHP00016,2025-01-16,Road,North,772.1033813998798,88.71009688616645,2177.743628050933,212.08997121688782,2.936165049765992,-0.8278023458223047,On-Time
SHP00017,2025-01-17,Road,South,373.2161193665367,85.90935751428896,1397.391538470284,123.89855320792581,5.96163753943988,-2.0,On-Time
SHP00018,2025-01-18,Rail,Central,367.9505673887247,27.697084896284206,663.7684897941717,127.17821614166559,2.337315342161509,0.2593738343399539,Delayed
SHP00019,2025-01-19,Road,South,1141.6863208392763,112.16475041280611,3063.6826278235117,214.4823594455585,6.0839874354132615,2.3634307300044943,Delayed
SHP00020,2025-01-20,Road,Central,645.3186911148256,28.779190413677163,1313.656876465023,155.18726767998936,8.976342320719134,-0.10730861544120207,On-Time
SHP00021,2025-01-21,Rail,North,333.3494856440834,94.52012941199095,1438.9877654710226,72.0674997648082,6.666389098372603,1.5335884717952328,Delayed
SHP00022,2025-01-22,Road,East,639.6135014226749,65.11467239172144,1533.019736541345,197.32984406653114,4.376401096157636,-2.0,On-Time
SHP00023,2025-01-23,Road,South,2000.0,96.18413819945481,4491.181323583212,577.6659153025909,6.22194968763625,0.5460115585486465,Delayed
SHP00024,2025-01-24,Road,East,853.9054940568468,76.69322029084528,2357.376364224625,171.1064072187041,7.7918592812796375,-0.5086164767858128,On-Time
SHP00025,2025-01-25,Road,Central,765.0207115321185,65.43307746864197,1874.0086374128884,200.58747539867667,6.870032364610036,-2.0,On-Time
SHP00026,2025-01-26,Air,South,360.35597560239734,70.1857397494714,2016.1412115358346,106.85451559504051,3.646704646614683,2.143031258962118,Delayed
SHP00027,2025-01-27,Road,West,115.78974879300397,32.87189965538344,644.7261834628279,36.17629739078681,3.012609918981206,5.114113923185788,Delayed
SHP00028,2025-01-28,Rail,East,1148.7499379676422,114.64273454288141,2326.1510984117604,210.69103218465426,9.2770651311134,2.9748973142022135,Delayed
SHP00029,2025-01-29,Rail,South,756.3794410325758,37.466897389371475,1329.3879192443242,250.6488887523602,6.646301959271105,3.134372513696099,Delayed
SHP00030,2025-01-30,Road,East,898.5449750399197,80.36487381342516,2243.8817557536595,248.69733293296042,4.053851512716111,2.2811925865420104,Delayed
SHP00031,2025-01-31,Rail,South,1020.0518221581842,78.14969320819185,2109.0484346037156,324.40152125256037,9.283101137119765,2.1161286241155493,Delayed
SHP00032,2025-02-01,Road,North,530.1648943219759,114.73410497309672,1554.6184417333782,168.24754562916442,4.576180550341598,-2.0,On-Time
SHP00033,2025-02-02,Road,East,277.46106608624103,54.52804165488822,992.0808848868999,58.898034553599025,4.378595414841106,0.1801226248200275,Delayed
SHP00034,2025-02-03,Sea,West,945.6927642414025,32.92400714316881,1315.7779675253523,187.9368236441015,9.70320561635974,1.7716744166146685,Delayed
SHP00035,2025-02-04,Sea,West,265.74174030411046,70.85282421720012,821.7910167357098,80.41845605451151,8.845617989431535,1.828511953002168,Delayed
SHP00036,2025-02-05,Air,Central,766.8940647533609,86.61971188011361,4189.334790383569,158.4346205096374,3.850607424864879,3.679265473174262,Delayed
SHP00037,2025-02-06,Road,South,382.4199199446828,69.92643567773713,1182.6655694372748,124.09120025160934,3.8422837627744317,-2.0,On-Time
SHP00038,2025-02-07,Road,East,1111.0749912856843,117.49056897255294,2942.9628122746476,337.1581640885766,6.372209751499087,2.018179038519247,Delayed
SHP00039,2025-02-08,Rail,Central,807.1798091707656,68.79275901171904,1268.1793511282253,260.8081199345265,11.629714556406306,-2.0,On-Time
SHP00040,2025-02-09,Road,East,425.10301722134795,20.201010941223583,819.0288186352614,98.12744578903607,5.03041836673911,-0.029248974597650523,On-Time
SHP00041,2025-02-10,Road,South,287.880060568988,41.67699756027055,733.5868204410085,67.31259659961101,7.433140209452657,0.34509248191181074,Delayed
SHP00042,2025-02-11,Road,West,650.5745692666977,142.17953028837425,2408.8390656414444,191.33896720143537,5.136517141986719,2.656427285122379,Delayed
SHP00043,2025-02-12,Road,North,1051.4065845153877,80.83527446329127,2453.508583940868,194.8738075276797,5.489516716983723,2.3623834710008604,Delayed
SHP00044,2025-02-13,Sea,West,1078.586844587972,41.50536929992092,1221.3997820375694,327.3559036758715,8.700966496259124,0.800826469279097,Delayed
SHP00045,2025-02-14,Road,Central,1165.0743847995498,77.94124497243827,2663.9753483759246,375.2507952712255,8.666637668017527,-2.0,On-Time
SHP00046,2025-02-15,Rail,North,753.9203241905109,66.96488478708605,1328.1267619480036,188.91570354108438,5.66830784609812,1.6120843324801346,Delayed
